Num;Character;Presence;Location;Sensation;Time;Moment;First_Name
1;35_years_old_community_worker_female;people on the sidewalk (with a friend who advises);urban;cool_morning;morning;calm;Chloé
2;28_years_old_student_male;teacher classmates (with a classmate who advises);school;quiet_morning;morning;clear;Lucas
3;40_years_old_jogger_female;street walkers (with an older woman who advises);park;fresh_air;morning;bright;Emma
4;22_years_old_nurse_male;store buyers (with a concerned shopper who advises);urban;soft_light;morning;peaceful;Thomas
5;31_years_old_photographer_female;people in street (with a delivery person who advises);city;noisy_morning;morning;lively;Sophie
6;45_years_old_manager_male;someone at a window (with a passerby who speaks);urban;light_wind;morning;cloudy;Antoine
7;27_years_old_teacher_female;people on the sidewalk (with a stranger who gives advice);school;bright_sun;morning;warm;Juliette
8;50_years_old_retiree_male;crow (alone, aka inner voice);park;quiet;morning;soft;Jean
9;33_years_old_dancer_female;street walkers (with a friend who advises);city;fresh_air;morning;clear;Camille
10;36_years_old_engineer_male;people in street (with a police officer who speaks);urban;soft_light;morning;calm;Maxime
11;19_years_old_graduate_female;people on the sidewalk (with a mentor who advises);university;vivid_color;morning;bright;Léa
12;42_years_old_doctor_male;teacher classmates (with a colleague who advises);hospital;quiet;morning;peaceful;David
13;29_years_old_writer_female;people in street (with a bookstore owner who speaks);urban;warm_scent;morning;soft;Clara
14;38_years_old_cook_male;store buyers (with a cashier who advises);grocery_store;busy_bustle;morning;lively;Pierre
15;23_years_old_engineer_female;crow (alone, aka inner voice);city;noise;morning;calm;Alice
16;48_years_old_chef_male;people on the sidewalk (with a friend who advises);urban;fragrant;morning;bright;Julien
17;55_years_old_baker_female;people in street (with a morning jogger who speaks);park;fresh_breeze;morning;peaceful;Céline
18;30_years_old_artist_male;crow (alone, aka inner voice);urban;light_music;morning;quiet;Martin
19;34_years_old_technician_female;street walkers (with a neighbor who advises);community;calm;morning;clear;Nathalie
20;26_years_old_anthropologist_male;people on the sidewalk (with a colleague who advises);university;soft_rain;morning;cloudy;Gabriel
21;25_years old female walker;people on the sidewalk (with a friend who advises);urban;cool breeze;morning;calm;Sophie
22;30_years old male jogger;teacher classmates (with a mentor who speaks);park;fresh grass;morning;bright;Julien
23;28_years old female commuter;street walkers (with an older woman who advises);urban;car exhaust;morning;lively;Claire
24;23_years old male runner;people in street (with a stranger who speaks the advice);urban;morning dew;morning;clear;Thomas
25;19_years old female student;crow (alone, aka inner voice);school;quiet;morning;soft;Emma
26;35_years old male cyclist;people on the sidewalk (with a fellow cyclist who advises);park;chirping birds;morning;peaceful;Eric
27;40_years old female dog-walker;people in street (with a passerby who suggests);urban;morning light;morning;clear;Isabelle
28;22_years old male athlete;people on the sidewalk (with a coach who speaks);school;whispers of leaves;morning;vivid;Lucas
29;27_years old female walker;friends (with her sister who advises);park;floral scents;morning;warm;Chloe
30;32_years old male runner;store buyers (with a shopkeeper who talks);urban;coffee aroma;morning;calm;David
31;29_years old female trekker;people on the sidewalk (with someone at a café who suggests);urban;early morning sun;morning;bright;Alice
32;21_years old male student;people in street (with a classmate who speaks);school;rustling paper;morning;quiet;Max
33;24_years old female jogger;street walkers (with a fitness enthusiast who advises);park;crisp air;morning;soft;Julie
34;38_years old male hiker;people on the sidewalk (with an older man who talks);urban;morning chill;morning;bright;Pierre
35;26_years old female surfer;people in street (with a beachgoer who suggests);urban;salty breeze;morning;cool;Camille
36;31_years old male worker;people around (with a colleague who advises);urban;car horns;morning;lively;Nicolas
