Num;Character;Presence;Location;Sensation;Time;Moment;First_Name
1;28_years_old_urban_explorer_male;friends (with a buddy who advises);urban;noise of traffic;afternoon;busy;Lucas
2;34_years_old_city_guide_female;family_members (with her mother who talks);urban;smell of street food;morning;bright;Sophie
3;22_years_old_college_student_female;classmates (with a friend who speaks);school;light chatter;afternoon;calm;Emma
4;45_years_old_security_officer_male;colleagues (with a co-worker who advises);urban;light of shop signs;night;quiet;Thomas
5;26_years_old_tourist_male;locals (with a shopkeeper who speaks);urban;mix of voices;afternoon;lively;Olivier
6;30_years_old_hiking_enthusiast_female;friends (with a companion who advises);park;fresh air;morning;cool;Clara
7;19_years_old_high_school_student_female;friends (with a peer who talks);school;smell of grass;afternoon;bright;Chloé
8;38_years_old_public_transport_worker_male;passengers (with an elder who speaks);urban;noise of trains;morning;busy;Antoine
9;50_years_old_career_mother_female;children (with her daughter who advises);urban;fragrance of flowers;afternoon;warm;Isabelle
10;25_years_old_new_yorker_male;street performers (with a performer who speaks);urban;music in the air;night;vivid;Julien
11;33_years_old_adventure_writer_female;fellow travelers (with a fellow traveler who speaks);urban;distant sirens;evening;soft;Marion
12;21_years_old_intern_female;office colleagues (with a mentor who advises);urban;smell of coffee;morning;quiet;Alice
13;40_years_old_city_worker_male;other workers (with a friend who talks);urban;noise of construction;afternoon;noisy;Gabriel
14;29_years_old_health_worker_female;patrons (with a customer who advises);urban;fragrance of food;afternoon;lively;Elodie
15;37_years_old_male_chef;diners (with a patron who speaks);urban;smell of spices;evening;warm;Matthieu
16;31_years_old_photographer_male;artists (with a colleague who advises);urban;crisp air;morning;clear;Luc
17;23_years_old_graduate_student_female;academic peers (with a friend who advises);school;light from screens;afternoon;quiet;Inès
18;44_years_old_city_planner_male;residents (with a local expert who speaks);urban;noise of chatter;evening;saturated;Frédéric
19;27_years_old_yoga_instructor_female;students (with a participant who advises);park;fresh foliage;morning;peaceful;Roxane
20;35_years_old_transit_officer_male;passengers (with a traveler who speaks);urban;thrum of the crowd;morning;busy;Dominique
21;25 years old male pedestrian;people in street (with a passerby who advises);urban;noisy;afternoon;busy;Lucas
22;32 years old female worker;crow (alone, aka inner voice);urban;soft;morning;quiet;Emma
23;18 years old male student;teacher classmates (with a classmate who speaks);school;quiet;morning;calm;Julien
24;29 years old female artist;store buyers (with her friend who advises);urban;bright;afternoon;vivid;Clara
25;40 years old male cyclist;people on the sidewalk (with a bystander who advises);urban;windy;afternoon;lively;Thomas
26;22 years old female tourist;people in street (with a local who speaks);urban;cool;evening;peaceful;Sophie
27;35 years old male manager;people in street (with a close friend who talks);urban;noisy;evening;soft;Pierre
28;19 years old female high school student;crow (alone, aka inner voice);school;quiet;morning;clear;Margaux
29;27 years old male office worker;street walkers (with a stranger who advises);urban;busy;afternoon;bright;Antoine
30;50 years old female retiree;street walkers (with a neighbor who speaks);urban;warm;morning;calm;Marie
31;26 years old male chef;people in street (with a child who advises);urban;smoky;evening;vivid;Victor
32;21 years old female college student;people on the sidewalk (with a passerby who talks);urban;bright;afternoon;busy;Chloe
33;30 years old male journalist;someone at a window (with a stranger who speaks);urban;warm;afternoon;soft;Maxime
34;37 years old female nurse;people on the sidewalk (with an elderly man who advises);urban;noisy;morning;calm;Juliette
35;23 years old female athlete;teacher classmates (with a coach who speaks);school;quiet;morning;cloudy;Ines
36;45 years old male engineer;crow (alone, aka inner voice);urban;busy;evening;lively;Henri
37;34 years old female librarian;street walkers (with a friend who advises);urban;quiet;afternoon;peaceful;Aline
38;28 years old male bartender;people in street (with a friend who speaks);urban;noisy;afternoon;bright;Yann
39;60 years old female volunteer;crow (alone, aka inner voice);urban;calm;morning;clear;Catherine
40;33 years old male sales consultant;people on the sidewalk (with a local who speaks);urban;windy;evening;soft;David
41;25_years_old_urban_planner_female;people_on_the_sidewalk (with a friend who advises);city_street;noise_of_cars_afternoon;afternoon;busy;Charlotte
42;30_years_old_teacher_male;teacher_classmates (with a student who speaks);school_classroom;quiet_light_afternoon;afternoon;calm;Lucas
