Num;Character;Presence;Location;Sensation;Time;Moment;First_Name
1;35_years_community_leader_female;community_members (with a young boy who speaks the advice);park;fresh_air_morning;morning;calm;Juliette
2;27_years_student_male;friends (with his sister who advises);school;noise_of_footsteps_daytime;afternoon;bright;Lucas
3;42_years_volunteer_female;local_residents (with a senior citizen who speaks);town_square;chatter_of_people_weekend;morning;lively;Camille
4;29_years_parent_male;shopping_customers (with his wife who advises);supermarket;smell_of_fresh_produce_afternoon;afternoon;warm;Antoine
5;24_years_teacher_female;students (with a classmate who speaks);classroom;silence_of_concentration_morning;morning;quiet;Sophie
6;30_years_gardener_male;friends_and_family (with his neighbor who speaks);community_garden;fragrance_of_flowers_spring;afternoon;soft;Julien
7;50_years_activist_female;passersby (with a fellow activist who speaks);street_corner;horns_honking_urban;afternoon;noisy;Marie
8;22_years_artist_male;friends (with a lady who advises);cafe;warmth_of_tea_evening;evening;soft;Olivier
9;38_years_neighborhood_leader_female;residents (with a local business owner who speaks);community_center;buzz_of_conversation_weekend;morning;vivid;Elodie
10;45_years_recycler_male;community_members (with a young adult who speaks);recycling_station;crunch_of_paper_rustling_daily;afternoon;clear;Michel
11;31_years_mother_female;family_members (with her son who speaks);home;smell_of_cooked_food_evening;evening;warm;Claire
12;29_years_dog_owner_male;dog_parks_visitors (with a nearby friend who advises);dog_park;sound_of_barking_morning;morning;bright;Paul
13;35_years_teacher_female;students (with a young girl who speaks);classroom;the_crackle_of_paper_daytime;afternoon;soft;Chloe
14;40_years_business_owner_male;employees (with a coworker who advises);office;electricity_in_air_morning;morning;bright;Philippe
15;55_years_retiree_female;neighbors (with a volunteer who speaks);community_center;chatter_of_neighbors_evening;afternoon;calm;Danielle
16;28_years_explorer_male;friends (with an enthusiastic peer who speaks);campus;chirping_birds_morning;morning;peaceful;Vincent
17;47_years_citizen_activist_female;town_members (with a colleague who advises);town_hall;excitement_in_the_air_evening;evening;lively;Nathalie
18;34_years_event_planner_female;friends (with her partner who advises);park;cool_breeze_sunny;afternoon;bright;Isabelle
19;26_years_eco_friendly_enthusiast_male;friends (with a peer who speaks);bike_path;fresh_air_morning;morning;clear;Julien
20;34 years old, town worker, male;people in street (with a passerby who advises);urban;light, fresh air;afternoon;clear;Charles
21;29 years old, environmentalist, female;crow (alone, aka inner voice);park;quiet, earthy scent;morning;calm;Juliette
22;40 years old, shop owner, female;store buyers (with an elderly friend who advises);urban;light, coffee aroma;afternoon;warm;Sophie
23;25 years old, dog owner, female;people on the sidewalk (with a stranger who speaks);park;soft, grassy scent;morning;bright;Clara
24;23 years old, student, male;teacher classmates (with a classmate who speaks);school;noisy, chatter;afternoon;lively;Lucas
25;38 years old, community volunteer, male;people in street (with a neighbor who advises);urban;soft, blooming flowers;afternoon;vivid;Henri
26;31 years old, artist, female;someone at a window (with a friend who advises);urban;light, paint smell;afternoon;warm;Camille
27;19 years old, high school student, female;teacher classmates (with a school counselor who speaks);school;quiet, pencil shavings;afternoon;peaceful;Anaïs
28;42 years old, gardener, male;people on the sidewalk (with a neighbor who advises);suburb;soft, earthy scent;morning;calm;Patrick
29;35 years old, non-profit worker, female;crow (alone, aka inner voice);urban;quiet, distant sounds;night;quiet;Élodie
30;50 years old, grandfather, male;people in street (with a child's parent who advises);urban;light, warm air;afternoon;cool;Georges
31;26 years old, festival organizer, female;people on the sidewalk (with a local politician who advises);urban;noisy, music;evening;lively;Emma
32;30 years old, product designer, male;crow (alone, aka inner voice);home office;quiet, paper texture;morning;cloudy;Antoine
33;45 years old, homeowner, female;neighbors (with a local resident who speaks);suburb;noisy, children playing;afternoon;bright;Nathalie
34;33 years old, town council member, male;store buyers (with a colleague who advises);urban;light, cooking smells;afternoon;warm;David
35;27 years old, environmental activist, female;people in street (with a community leader who advises);urban;light, autumn leaves;afternoon;vivid;Léa
36;22 years old, college student, male;crow (alone, aka inner voice);campus;quiet, library smell;morning;peaceful;Simon
37;36 years old, fashion store owner, female;store buyers (with a fashion consultant who advises);urban;light, textiles;afternoon;warm;Laura
38;48 years old, sustainability expert, male;community members (with an old friend who advises);urban;soft, fresh air;afternoon;clear;Michel
39;55 years old, retired teacher, female;grandchildren (with a family member who speaks);park;quiet, nature sounds;morning;peaceful;Isabelle
40;10 years old, student, male;classmates (with a teacher who advises);school;papers rustling, chatter;afternoon;busy;Lucas
41;30 years old, community worker, female;neighborhood residents (with an older woman who advises);urban;fresh grass scent, buzzing;morning;bright;Camille
42;28 years old, dog owner, female;dog walkers (with a fellow dog owner who talks);park;fresh air, chirping birds;morning;peaceful;Sophie
43;22 years old, college student, male;friends (with a friend who encourages);cafe;coffee aroma, clinking cups;afternoon;lively;Thomas
44;35 years old, local activist, female;community members (with a fellow activist who motivates);community center;friendly chatter, laughter;morning;warm;Marie
45;42 years old, environmentalist, male;bus riders (with a passenger who advises);bus stop;urban smells, engine noise;afternoon;cloudy;Julien
