Num;Character;Presence;Location;Sensation;Time;Moment;First_Name
1;35 male guide;friends (with a fellow hiker who advises);forest;rustling leaves;afternoon;quiet;Julien
2;28 female biologist;colleagues (with a fellow scientist who speaks);nature reserve;birdsong;morning;lively;Clémence
3;22 male student;classmates (with a friend who cautions);campus;chatter;afternoon;brisk;Lucas
4;45 female ranger;families (with a visitor who suggests);national park;fresh air;morning;serene;Marie
5;50 male adventurer;teammates (with a fellow trekker who reminds);wilderness area;crunching gravel;afternoon;clear;Thomas
6;40 female teacher;students (with a pupil who shares);schoolyard;children laughing;morning;bright;Caroline
7;30 male hiker;partner (with his friend who encourages);mountain trail;cool breeze;afternoon;cloudy;David
8;38 female outdoor enthusiast;friends (with a close friend who warns);backcountry;animal sounds;evening;peaceful;Nathalie
9;25 male trail runner;group (with a teammate who advises);running path;distant birds;morning;soft;Olivier
10;60 female botanist;young adults (with a student who tells);botanical garden;earthy scents;afternoon;warm;Françoise
11;32 male teacher;school kids (with a student who suggests);playground;excited chatter;morning;lively;Pierre
12;48 female nurse;family (with her daughter who speaks);backyard;floral aromas;afternoon;bright;Isabelle
13;27 male photographer;friends (with a buddy who advises);scenic overlook;wind rustling;sunset;vivid;Sébastien
14;41 female environmentalist;visitors (with a passerby who cautions);nature center;forest scents;afternoon;calm;Amélie
15;37 male survivalist;students (with an attendee who explains);workshop space;quiet murmurs;afternoon;serene;Vincent
16;29 female fitness coach;group (with a participant who informs);gym;heartbeat sound;morning;vivid;Sophie
17;22 male leisure walker;couples (with a stranger who advises);city park;noisy laughter;afternoon;soft;Alexandre
18;46 female traveler;companions (with a friend who mentions);campsite;fire crackling;night;warm;Céline
19;31 male naturalist;visitors (with a child who speaks);nature trail;whispering winds;morning;quiet;Jean
20;53 female trekker;friends (with a colleague who suggests);mountain path;cool air;afternoon;bright;Dominique
21;30_year_old_guide_male;hikers (with an experienced guide who advises);park;birds chirping, rustling leaves;afternoon;bright;Lucas
22;25_year_old_naturalist_female;family (with a mother who speaks);nature reserve;fresh grass, earthy scent;morning;calm;Emma
23;40_year_old_hiker_male;friends (with a buddy who guides);mountain trail;crisp air, faint pine smell;afternoon;cool;Thomas
24;35_year_old_traveler_female;group of tourists (with a friend who advises);wildflower field;sweet fragrance of flowers;morning;sunny;Clara
25;28_year_old_outdoor_enthusiast_male;campers (with an older brother who advises);campsite;smoky aroma from fire;evening;warm;Julien
26;45_year_old_paramedic_female;colleagues (with a partner who explains);outdoors;herbal smell in the air;afternoon;soft;Sophie
27;38_year_old_mother_female;children (with a parent who speaks);park;crispy leaves underfoot;morning;peaceful;Marie
28;32_year_old_hiker_male;friends (with a best friend who advises);forest;whispers of the wind;evening;quiet;Pierre
29;50_year_old_explorer_female;locals (with a village elder who advises);hilltop;sweet scent of wild fruits;afternoon;lively;Florence
30;37_year_old_survival_expert_male;students (with a mentor who speaks);wilderness training ground;dry soil, fresh air;morning;vivid;Antoine
31;29_year_old_fitness_trainer_female;class participants (with a fellow trainer who guides);trail;uplifting environment, clean air;afternoon;bright;Jessica
32;41_year_old_gardener_male;neighbors (with a friend who speaks);community garden;floral scents;afternoon;warm;Richard
33;26_year_old_wildlife_researcher_female;visitors (with a scientist who advises);nature center;crunching twigs, birds singing;morning;cloudy;Nathalie
34;33_year_old_photographer_male;couples (with an artist who advises);scenic viewpoint;cool breeze, vibrant colors;sunset;soft;Julien
35;21_year_old_student_female;classmates (with a friend who advises);university campus;excited chatter, distant noise;afternoon;bright;Emily
36;39_year_old_historian_male;tourists (with a guide who speaks);historic trail;echoes of stepping feet;morning;clear;Louis
37;44_year_old_biologist_female;research team (with an expert who explains);national park;fresh and earthy scents;afternoon;sunny;Isabelle
