Num;Character;Presence;Location;Sensation;Time;Moment;First_Name
1;35_years old_eco activist_female;friends (with a peer who advises);park;soft_wind;afternoon;calm;Clara
2;28_years old_student_male;classmates (with a mentor who advises);school;noisy_laughter;morning;bright;Lucas
3;45_years old_chefs_female;colleagues (with a chef who advises);restaurant;aromatic_spices;evening;lively;Sophie
4;50_years old_teacher_male;students (with a student who talks);classroom;quiet_focus;morning;clear;Olivier
5;60_years old_grandmother_female;family (with a grandchild who advises);home;warm_baking;afternoon;peaceful;Marie
6;22_years old_volunteer_male;friends (with a fellow volunteer who talks);beach;salty_air;morning;soft;Antoine
7;38_years old_writer_female;readers (with a fan who advises);café;rich_coffee;afternoon;bright;Isabelle
8;30_years old_outdoor guide_male;tourists (with a participant who speaks);forest;earthy_smell;morning;calm;Julien
9;40_years old_naturalist_female;community members (with a neighbor who advises);local park;fresh_grass;evening;cool;Elise
10;27_years old_homemaker_male;family (with a partner who talks);kitchen;clean_deodorizer;morning;clear;Thomas
11;33_years old_scientist_female;colleagues (with a coworker who advises);research lab;sterile;afternoon;peaceful;Laura
12;24_years old_student_male;classmates (with a friend who speaks);library;quiet_study;afternoon;clear;Noah
13;31_years old_forest ranger_female;friends (with a colleague who advises);nature reserve;whispering_leaves;morning;calm;Chloe
14;42_years old_manager_male;staff (with an employee who advises);office;typing_noise;morning;bright;François
15;29_years old_yoga instructor_female;students (with a participant who speaks);studio;fragrant_essential_oils;morning;soft;Camille
16;37_years old_camp leader_male;campers (with a participant who advises);campground;fresh_pine;evening;peaceful;Victor
17;54_years old_activist_female;community members (with a participant who speaks);town hall;motivational_tone;afternoon;vivid;Nathalie
18;46_years old_educator_male;students (with a teacher who advises);school;busy_crowd;morning;bright;Jacques
19;26_years old_blogger_female;followers (with a fan who speaks);café;cozy;evening;calm;Alice
20;34_years old_landscaper_male;friends (with a companion who advises);garden;earthy_scent;afternoon;clear;Émile
21;35 years old, environmentalist, female;friends (with a knowledgeable friend who advises);park;fresh_air;afternoon;bright;Claire
22;28 years old, community volunteer, male;local residents (with an elder who advises);beach;salty_air;morning;clear;Lucas
23;22 years old, student, female;classmates (with a teacher who advises);university;bookish_smell;afternoon;lively;Sophie
24;40 years old, activist, male;colleagues (with a mentor who advises);conference_room;electronic_noise;evening;calm;Julien
25;50 years old, marine biologist, female;visitors (with a park ranger who advises);aquarium;moist_air;afternoon;peaceful;Marie
26;30 years old, chef, male;customers (with a fellow chef who advises);grocery_store;spicy_smell;morning;vivid;Thomas
27;45 years old, philanthropist, female;friends (with a board member who advises);office;soft_light;noon;warm;Emma
28;26 years old, shop owner, male;shoppers (with an environmentalist who advises);market;fresh_fruit_smell;morning;quiet;Alex
29;38 years old, office worker, female;co-workers (with a sustainability expert who advises);workspace;computer_noise;afternoon;busy;Chloé
30;29 years old, landscape architect, male;community members (with a local leader who advises);park;earthy_smell;morning;cool;Olivier
31;33 years old, writer, female;friends (with a fellow author who advises);café;coffee_smell;afternoon;soft;Laure
32;41 years old, teacher, male;students (with a volunteer who advises);school;paper_smell;morning;bright;François
33;25 years old, environmental scientist, female;peers (with a professor who advises);laboratory;chemical_smell;afternoon;vivid;Alice
34;53 years old, elder, male;neighbors (with a community leader who advises);town_square;people_noise;evening;calm;Bernard
35;48 years old, urban planner, female;community members (with a park ranger who advises);community_garden;flora_smell;morning;peaceful;Nathalie
36;32 years old, researcher, male;classmates (with a mentor who advises);library;quiet;evening;soft;Victor
37;27 years old, photographer, female;tourists (with a local guide who advises);scenic_overlook;bird_sounds;afternoon;bright;Lucie
38;36 years old, activist, male;community members (with a local politician who advises);town_hall;enthusiastic_noise;evening;lively;Paul
39;31 years old, volunteer coordinator, female;group (with a speaker who advises);event_space;celebratory_noise;afternoon;vivid;Camille
40;39 years old, ecologist, male;students (with a lecturer who advises);nature_center;natural_sounds;morning;fresh;Philippe
41;35 years old mother female (with her child who advises);supermarket (with her child who talks);urban;smell of fresh produce;afternoon;warm;Marie
42;60 years old grandfather male (with a young adult who speaks);park (with a young adult who talks);urban;birds chirping;morning;calm;Louis
43;25 years old volunteer female (with a friend who advises);community garden (with a friend who speaks);urban;earthy smell;afternoon;sunny;Chloé
44;28 years old teacher female (with students who speak);beach (with students who talk);coastal;waves crashing;morning;bright;Emma
45;45 years old chef male (with a nearby customer who advises);restaurant (with a customer who speaks);urban;aroma of cooked fish;evening;vivid;Julien
46;30 years old environmentalist female (with colleagues who advise);office (with colleagues who talk);urban;quiet hum of computers;morning;cool;Laura
47;22 years old high school student male (with a classmate who speaks);classroom (with a classmate who advises);school;pages turning;afternoon;peaceful;Thomas
48;40 years old activist female (with a passerby who speaks);street (with a passerby who advises);urban;city noise;evening;lively;Sophie
49;50 years old ranger male (with hikers who advise);forest (with hikers who speak);nature;rustling leaves;afternoon;quiet;François
50;27 years old artist female (with a friend who speaks);studio (with a friend who advises);urban;paint smell;morning;soft;Clara
51;33 years old businessman male (with associates who advise);office (with associates who speak);urban;phone ringing;afternoon;busy;Antoine
52;19 years old college student female (with a mentor who speaks);campus (with a mentor who advises);school;footsteps echoing;morning;bright;Justine
53;42 years old scientist male (with researchers who speak);lab (with researchers who advise);urban;chemical scents;afternoon;white;Pierre
54;38 years old fisherman male (with companions who advise);dock (with companions who talk);coastal;smell of the sea;morning;fresh;Jean
55;29 years old mother female (with a neighbor who speaks);backyard (with a neighbor who advises);urban;grassy scent;afternoon;calm;Isabelle
56;31 years old cleaner male (with coworkers who speak);beach (with coworkers who advise);coastal;salty air;morning;bright;Nicolas
57;48 years old nurse female (with patients who advise);hospital (with patients who speak);urban;clean antiseptic;afternoon;quiet;Cécile
58;36 years old guide male (with tourists who speak);national park (with tourists who advise);nature;crickets chirping;evening;peaceful;Olivier
59;23 years old marine biologist female (with a colleague who advises);research vessel (with a colleague who speaks);coastal;ocean breeze;afternoon;clear;Alice
60;55 years old teacher male (with students who speak);school (with students who advise);urban;voices chatting;morning;soft;Philippe
61;33 years old environmentalist male;shopper (with a friend who advises);store;noise of chatter;afternoon;busy;Lucas
62;28 years old mother female;grocery buyers (with her daughter who advises);supermarket;smell of fresh produce;morning;bright;Clara
63;45 years old botanist male;community members (with a neighbor who advises);park;sound of birds chirping;afternoon;calm;Julien
64;19 years old college student female;beachgoers (with a mentor who advises);beach;waves crashing;morning;clear;Emma
65;36 years old dentist male;family members (with his son who advises);home;silence of a calm room;evening;quiet;Tom
66;52 years old gardener female;friends (with a fellow gardener who advises);garden;smell of flowers;afternoon;warm;Sophie
67;23 years old marine biologist male;students (with a professor who advises);university;sound of typing;morning;busy;Olivier
68;37 years old chef female;restaurant staff (with a colleague who advises);restaurant;aroma of seafood;evening;lively;Nathalie
69;41 years old teacher male;classroom (with a student who advises);school;voices of children;morning;vivid;Pierre
70;29 years old volunteer female;activists (with an organizer who advises);community center;noise of clapping;afternoon;energetic;Chloé
71;50 years old sailor male;marine crew (with a captain who advises);boat;sound of the waves;afternoon;peaceful;Marc
72;30 years old engineer female;office workers (with a colleague who advises);office;buzz of conversation;morning;soft;Claire
73;48 years old retiree male;neighbors (with a local leader who advises);community park;light wind;afternoon;quiet;Henri
74;22 years old student female;beachgoers (with a friend who advises);coast;sound of seagulls;evening;clear;Julie
75;39 years old environmental activist male;protesters (with a fellow activist who advises);street;cheers and chants;afternoon;vivid;Antoine
76;26 years old scientist female;research team (with a supervisor who advises);laboratory;hum of machines;morning;bright;Aline
77;55 years old park ranger male;visitors (with a family member who advises);nature reserve;tranquil sounds of nature;morning;calm;Jean
78;31 years old policy maker female;colleagues (with an analyst who advises);government office;quiet rustling of papers;afternoon;peaceful;Isabelle
79;43 years old oceanographer male;students (with a researcher who advises);conference hall;humming of a projector;evening;bright;François
80;27 years old beautician female;clients (with a friend who advises);salon;fragrance of cosmetics;afternoon;soft;Léa
81;38 years old, environmentalist, female;people in street (with a friend who speaks the advice);urban;noisy;afternoon;lively;Claire
82;27 years old, chef, male;store buyers (with a customer who gives the advice);urban;smell of seafood;morning;bright;Julien
83;45 years old, ecologist, female;teacher classmates (with a student who advises);school;quiet;afternoon;calm;Isabelle
84;22 years old, volunteer, male;people on the sidewalk (with fellow volunteers who speak the advice);park;cool;morning;peaceful;Lucas
85;30 years old, activist, female;people in street (with a stranger who advises);urban;noisy;afternoon;bright;Chloé
86;35 years old, office worker, male;crow (alone, aka inner voice);urban;soft;night;quiet;Antoine
87;50 years old, fisherman, male;people on the sidewalk (with an elderly neighbor who speaks the advice);coastal;light breeze;morning;clear;Philippe
88;29 years old, shop owner, female;store buyers (with a friend who advises);urban;smell of fresh produce;afternoon;vivid;Marie
89;40 years old, researcher, male;people at a conference (with a colleague who speaks the advice);conference center;bright lights;morning;dynamic;Olivier
90;31 years old, student, female;friends at a café (with a peer who gives the advice);café;coffee aroma;evening;soft;Sophie
91;25 years old, engineer, male;people in street (with a passing cyclist who talks);urban;traffic noise;afternoon;cool;Gabriel
92;48 years old, teacher, female;teacher classmates (with a student who speaks);school;quiet;morning;clear;Nathalie
93;36 years old, community leader, male;people at a rally (with an activist who speaks);urban;energetic crowd;afternoon;lively;David
94;55 years old, elder, female;someone at a window (with a neighbor who advises);suburban;peaceful;morning;calm;Lucie
95;41 years old, conservationist, male;people hiking (with a guide who advises);nature;fresh air;afternoon;warm;Raphaël
96;34 years old, housekeeper, female;friends at a park (with a friend who advises);park;flowers smell;morning;bright;Laure
97;28 years old, solar advocate, male;people at a workshop (with a presenter who speaks);community center;light buzz;afternoon;dynamic;Maxime
98;44 years old, librarian, female;family at home (with a child who gives the advice);home;books smell;evening;soft;Camille
99;53 years old, veterinarian, male;people in street (with a mother who gives the advice);urban;pet odors;morning;cloudy;Bernard
100;39 years old, marine biologist, female;people in the office (with a colleague who advises);office;computer hum;afternoon;calm;Élodie
101;30 years old, environmentalist, female;friends (with a friend who advises);beach;sea breeze, salty air;afternoon;lively;Claire
102;25 years old, student, male;classmates (with a mentor who advises);university;noisy, chattering voices;morning;bright;Julien
103;40 years old, chef, female;diners (with a colleague who speaks);restaurant;food aromas, sizzling;evening;warm;Sophie
104;18 years old, volunteer, male;teammates (with a supervisor who speaks);community center;soft chatter, footsteps;afternoon;calm;Lucas
105;50 years old, philanthropist, female;guests (with an event organizer who advises);gala hall;music, clinking glasses;evening;bright;Isabelle
106;28 years old, researcher, male;colleagues (with a coworker who advises);laboratory;chemical scents, buzzing machines;daytime;clear;Thomas
107;22 years old, nature enthusiast, female;friends (with a fellow hiker who advises);trail;crunching leaves, birds singing;morning;cool;Emma
108;45 years old, activist, male;community members (with a local leader who advises);town square;city noise, distant chatter;noon;vivid;Pierre
109;35 years old, homemaker, female;family (with a sibling who speaks);kitchen;food smells, warmth;morning;soft;Anne
110;27 years old, bus driver, male;passengers (with a fellow driver who advises);bus;engine hum, brief conversations;afternoon;cloudy;Marc
111;32 years old, gardener, female;neighbors (with a friend who advises);backyard;earthy smells, floral scents;morning;peaceful;Laura
112;29 years old, community leader, male;volunteers (with a veteran activist who speaks);park;children laughing, birds chirping;afternoon;bright;Louis
113;38 years old, author, female;readers (with a book club member who advises);library;whispering voices, pages turning;evening;quiet;Valérie
114;24 years old, teacher, male;students (with a fellow teacher who speaks);school;chalk dust, youthful chatter;morning;vivid;Antoine
115;54 years old, forest ranger, female;hikers (with a young guide who advises);national park;birds singing, rustling leaves;daytime;peaceful;Gabrielle
116;31 years old, wildlife photographer, male;clients (with an assistant who advises);studio;flash sounds, chatter;afternoon;lively;Vincent
117;19 years old, activist, female;friends (with a mentor who speaks);community center;group chatter, clapping;evening;warm;Camille
118;41 years old, policy maker, male;colleagues (with a senior official who advises);government office;quiet typing, talking;morning;calm;Jacques
119;26 years old, entrepreneur, female;customers (with an employee who advises);store;product scents, lively chatter;noon;bright;Nadia
120;33 years old, outdoor instructor, male;friends (with a participant who advises);lake;water splashing, laughter;morning;cool;Olivier
121;30 years old, environmentalist, female;people in street (with a friend who advises);urban;noise;afternoon;lively;Claire
122;40 years old, father, male;store buyers (with his son who advises);store;light;morning;bright;Thomas
123;25 years old, student, female;teacher classmates (with a peer who speaks);school;quiet;afternoon;calm;Sophie
124;35 years old, volunteer, male;crow (alone, aka inner voice);park;sound of birds;morning;peaceful;Julien
125;28 years old, chef, female;people on the sidewalk (with a neighbor who speaks);urban;smell of sea;afternoon;warm;Manon
126;50 years old, community leader, male;street walkers (with an old man who advises);urban;street noise;morning;cool;Pierre
127;18 years old, activist, female;friends (with a group member who speaks);park;fresh air;afternoon;vivid;Emma
128;45 years old, gardener, male;people in street (with an acquaintance who speaks);urban;light breeze;morning;cloudy;David
129;38 years old, teacher, female;teacher classmates (with a student who speaks);school;quiet;afternoon;soft;Alice
130;55 years old, mayor, male;people on the sidewalk (with a citizen who advises);urban;commotion;afternoon;noisy;Marc
131;32 years old, biologist, female;crow (alone, aka inner voice);lab;chemical scent;night;calm;Chloé
132;26 years old, writer, female;street walkers (with a passerby who speaks);urban;urban smell;afternoon;lively;Lisa
133;48 years old, conservationist, male;people in street (with a local resident who advises);urban;fresh air;morning;clear;Jean
134;29 years old, nurse, female;store buyers (with a customer who advises);store;bright lights;afternoon;warm;Nathalie
135;42 years old, researcher, male;crow (alone, aka inner voice);library;quiet;morning;peaceful;Antoine
136;60 years old, retiree, female;people on the sidewalk (with a friend who speaks);urban;noise of traffic;afternoon;noisy;Bernadette
137;36 years old, campaigner, male;farmers (with an elderly farmer who advises);field;smell of earth;morning;calm;Olivier
138;20 years old, volunteer, female;students (with a mentor who speaks);university;quiet;afternoon;soft;Emma
139;33 years old, IT specialist, male;coworkers (with a colleague who advises);office;computer hum;morning;cool;Luc
140;30_years_old_community_organizer_female;friends (with her best friend who advises);park;sounds_of_seagulls_splashing_water;afternoon;sunny;Claire
141;25_years_old_student_male;classmates (with a classmate who speaks);school;echo_of_laughter_chalk_on_blackboard;morning;bright;Thomas
142;40_years_old_scientist_female;colleagues (with a mentor who advises);office;printer_noise_papers_rustling;afternoon;lively;Sophie
143;35_years_old_forest_ranger_male;visitors (with a young boy who advises);forest;fresh_earth_smell_birdsong;morning;calm;Louis
144;22_years_old_ecologist_female;family (with her mother who gives the advice);kitchen;aroma_of_coffee_breakfast_cooking;morning;warm;Emma
145;29_years_old_artist_male;gallery_visitors (with a friend who speaks);art_gallery;soft_music_paint_scent;evening;soft;Julien
146;50_years_old_environmentalist_female;community_members (with a local leader who talks);town_square;chatting_people_sound;afternoon;vivid;Isabelle
147;27_years_old_veterinarian_male;pet_owners (with a client who advises);vet_clinic;dog_barking_animal_sounds;morning;peaceful;Maxime
148;32_years_old_fisherman_female;neighbors (with an old friend who speaks);coast;waves_crashing_smell_of_salt;afternoon;clear;Marie
149;45_years_old_teacher_male;students (with a student who advises);classroom;shuffling_feet_whispers;morning;quiet;Antoine
150;38_years_old_chef_female;staff (with a co-worker who advises);kitchen;smells_of_spices_frying;evening;warm;Chloe
151;24_years_old_traveler_male;tourists (with a guide who speaks);hotel_lobby;voices_clinking_glasses;afternoon;lively;Romain
152;31_years_old_wildlife_photographer_female;friends (with a colleague who advises);nature_reserve;wind_rustling_leaves;morning;cool;Laura
153;48_years_old_conservationist_male;volunteers (with a team leader who talks);beach;sound_of_waves_children_playing;afternoon;bright;Paul
154;20_years_old_college_student_female;roommates (with a friend who advises);dormitory;music_playing_conversation;evening;soft;Annie
155;37_years_old_plumber_male;clients (with a customer who speaks);home;dripping_water_ringing_phones;morning;calm;Eric
156;26_years_old_researcher_female;peers (with an advisor who speaks);lab;clicking_keys_scientific_world;afternoon;bright;Nina
157;42_years_old_historian_male;students (with a TA who advises);university;footsteps_in_hallway;morning;quiet;Gaspard
158;39_years_old_gardener_female;neighbors (with a child who advises);community_garden;fragrance_of_flowers_earth;afternoon;peaceful;Sylvie
159;21_years_old_volunteer_male;community_members (with an elder who advises);community_center;mixed_voice_of_kids_singing;evening;lively;Léo
160;35_years old activist male;people on the sidewalk (with a friend who advises);urban;sound of traffic;afternoon;busy;Jules
161;28_years old marine biologist female;crow (alone, aka inner voice);coastal area;sound of waves;morning;calm;Chloé
162;45_years old nature enthusiast male;teacher classmates (with a student who speaks);school;voices of children;afternoon;lively;Gabriel
163;50_years old chef female;store buyers (with her son who gives the advice);market;smell of fresh fish;afternoon;bright;Sophie
164;22_years old college student male;people in street (with a stranger who speaks the advice);city park;birds chirping;morning;soft;Théo
165;38_years old gardener male;people on the sidewalk (with a woman who talks);green space;smell of flowers;morning;peaceful;Alex
166;25_years old conservationist female;street walkers (with an older woman who advises);riverside;sound of running water;afternoon;cool;Inès
167;60_years old retired teacher male;people in street (with a parent who speaks);suburban neighborhood;sound of children playing;afternoon;warm;Claude
168;40_years old travel blogger female;store buyers (with her friend who advises);souvenir shop;smell of coffee;afternoon;bright;Eva
169;33_years old ecologist male;teacher classmates (with a friend who speaks);school;quietness of a library;morning;calm;Louis
170;29_years old public speaker female;people on the sidewalk (with a stranger who advises);downtown;sounds of conversation;evening;lively;Nina
171;42_years old mother male;street walkers (with her daughter who talks);community garden;smell of fresh earth;morning;soft;Christine
172;53_years old philanthropist female;people in street (with a activist who advises);campus;sound of laughter;afternoon;vivid;Clara
173;27_years old forestry student male;teacher classmates (with a mentor who speaks);university;chirping of birds;morning;quiet;Antoine
174;31_years old health coach female;crow (alone, aka inner voice);gym;smell of sweat;evening;calm;Camille
175;37_years old policy maker male;people on the sidewalk (with a colleague who advises);urban;ringing of phones;afternoon;busy;Marc
176;24_years old horticulturist female;street walkers (with an elderly man who speaks);botanical garden;fragrance of flowers;morning;peaceful;Aline
177;20_years old student female;people on the sidewalk (with a friend who advises);beach;sound of waves;afternoon;warm;Léa
178;34 years old, environmentalist, female;people at a market (with a friend who advises);urban;fresh produce scent;afternoon;bright;Juliette
179;28 years old, volunteer, male;friends on the beach (with a fellow volunteer who speaks);coastal;sea breeze;morning;sunny;Alexandre
180;45 years old, restaurant owner, male;customers at the diner (with a regular who talks);urban;fishy aroma;afternoon;warm;Thierry
181;16 years old, student, female;classmates at school (with a teacher who speaks);school;quiet;morning;calm;Chloé
182;30 years old, activist, male;passersby on the pier (with an elder who advises);urban;salty air;afternoon;lively;Lucas
183;22 years old, eco-conscious shopper, female; shoppers in a store (with a store clerk who advises);urban;clean scent;afternoon;soft;Emma
184;40 years old, chef, male;colleagues around the kitchen (with a sous-chef who advises);restaurant;spicy;evening;vivid;Martin
185;29 years old, conservationist, female;beachgoers (with a local who advises);coastal;warm sand;morning;peaceful;Sophie
186;38 years old, beach cleanup organizer, male;volunteers at the beach (with a participant who speaks);coastal;sunshine;morning;clear;Guillaume
187;50 years old, philanthropist, female; event attendees (with a friend who advises);urban;soft chatter;evening;bright;Isabelle
188;21 years old, student, male;friends in a park (with a peer who advises);park;greenery scent;afternoon;cool;Nicolas
189;34 years old, office worker, female;co-workers at lunch (with a colleague who speaks);urban;coffee aroma;lunch;quiet;Amélie
190;42 years old, community leader, male;members at a community meeting (with an elder who advises);community center;energetic chatter;evening;warm;Richard
191;27 years old, furniture designer, female;clients in a showroom (with a friend who speaks);urban;wood smell;afternoon;bright;Léa
192;18 years old, hiker, male;fellow hikers on a trail (with a guide who advises);forest;earthy;morning;calm;Julien
193;36 years old, educator, female;students in a classroom (with a student who speaks);school;focused;morning;bright;Claire
194;32 years old, boat owner, male;friends on a boat (with a captain who speaks);ocean;sea waves;evening;soft;François
195;24 years old, marine biologist, female;divers in the water (with a diving instructor who advises);ocean;marine life;afternoon;clear;Lucie
196;41 years old, activist, male;crowd at a rally (with a fellow activist who advocates);urban;enthusiastic cheers;afternoon;vivid;Étienne
197;39 years old, commuter, female;passengers on a bus (with a fellow commuter who speaks);urban;city sounds;morning;cool;Caroline
198;30 years old, environmentalist, female;people on the sidewalk (with a friend who advises);urban;noise;afternoon;busy;Claire
199;45 years old, community leader, male;beach volunteers (with a colleague who talks);beach;smell of salt;morning;bright;Julien
200;25 years old, student, female;classmates (with a mentor who speaks);school;quiet;afternoon;calm;Noémie
201;29 years old, health advocate, male;friends at a cafe (with a partner who advises);cafe;aroma of coffee;morning;soft;Matthieu
202;38 years old, chef, female;restaurant staff (with a customer who speaks);restaurant;light chatter;evening;lively;Sophie
203;50 years old, logger, male;workers in the forest (with a colleague who talks);forest;birds chirping;morning;peaceful;Philippe
204;22 years old, volunteer, female;school children (with a teacher who advises);park;sound of laughter;afternoon;vivid;Élise
205;33 years old, shop owner, male;shoppers (with a customer who speaks);store;general hustle;afternoon;warm;Antoine
206;40 years old, farmer, female;locals at a market (with a neighbor who advises);market;smell of fresh produce;morning;clear;Caroline
207;55 years old, activist, male;passersby (with a friend who speaks);urban street;city sounds;evening;cool;Bernard
208;28 years old, nutritionist, female;family at home (with a sibling who advises);home;home cooking smells;evening;calm;Camille
209;39 years old, park ranger, male;colleagues (with a visitor who talks);nature reserve;gentle breeze;afternoon;quiet;Eric
210;34 years old, researcher, female;students (with a classmate who advises);university;bright lighting;afternoon;soft;Céline
211;26 years old, environmental lawyer, male;friends in a cafe (with a partner who speaks);cafe;warm ambiance;morning;clear;Olivier
