Num;Character;Presence;Location;Sensation;Time;Moment;First_Name
1;30_years_old parent female;children (with her mother who advises);urban;fresh_pavement_smell;afternoon;cloudy;Claire
2;22_years_old student male;friends (with a club member who talks);school;wet_earth_smell;morning;bright;Julien
3;15_years_old teenager female;classmates (with a peer who speaks);park;rainy_air_scent;afternoon;cool;Sophie
4;45_years_old office worker male;colleagues (with a friend who advises);urban;breezy;morning;clear;Marc
5;28_years_old jogger male;visitors (with a passerby who speaks);park;wet_grass_scent;evening;soft;Thomas
6;10_years_old child female;parents (with her dad who advises);urban;earthy;afternoon;lively;Emma
7;35_years_old hiker male;friends (with a companion who gives advice);hiking trail;fresh_breeze;morning;bright;Luca
8;27_years_old photographer female;tourists (with a local who talks);city street;wet_pavement;afternoon;calm;Chloe
9;50_years_old retiree male;neighbors (with a friend who advises);urban;wet_wood;morning;peaceful;Jacques
10;16_years_old student male;classmates (with a classmate who speaks);school;stale_rain;afternoon;quiet;Maxime
11;42_years_old maintenance worker male;co-workers (with a supervisor who advises);park;humid;morning;cloudy;Antoine
12;38_years_old bus driver female;commuters (with a passenger who speaks);urban;fresh_air;evening;cool;Isabelle
13;20_years_old college student female;friends (with a companion who advises);campus;wet_concrete;afternoon;breezy;Fanny
14;55_years_old gardener male;visitors (with a neighbor who talks);garden;fresh_vegetation;morning;bright;Henri
15;19_years_old intern male;team members (with a manager who gives advice);office;stuffy;afternoon;bright;Olivier
16;31_years_old dog owner female;friends (with a fellow dog-walker who advises);park;earthy_scent;evening;lively;Laure
17;24_years_old coach male;players (with an assistant who talks);sports field;wet_grass;afternoon;cool;Paul
18;37_years_old tour guide female;tourists (with a visitor who speaks);historic site;wet_stone;morning;clear;Nathalie
19;48_years_old teacher female;students (with a colleague who gives advice);school;fresh_classroom;afternoon;quiet;Veronique
20;35_years_old_parent_female;children (with a mother who advises);park;fresh_air_moisture;afternoon;calm;Claudette
21;28_years_old_teacher_male;students (with a teacher who gives the advice);school;wet_ground;morning;quiet;Julien
22;45_years_old_grandparent_male;grandchildren (with a grandfather who advises);playground;earthy;afternoon;bright;Henri
23;40_years_old_caregiver_female;kids (with a caregiver who advises);street;clean_air;afternoon;soft;Marie
24;22_years_old_young_adult_female;friends (with a friend who speaks);urban_area;light_rain;morning;cool;Sophie
25;30_years_old_worker_male;colleagues (with a coworker who advises);bus_stop;noise_of_city;evening;lively;Pierre
26;55_years_old_retired_male;neighbors (with a neighbor who advises);community_park;damp_earth;morning;peaceful;Michel
27;15_years_old_student_female;classmates (with a classmate who speaks);school_yard;gloomy;noon;quiet;Emma
28;25_years_old_hiker_male;fellow_hikers (with a hiker who advises);trail;fresh_earthy;afternoon;warm;Lucas
29;60_years_old_grandparent_female;family (with a grandmother who advises);backyard;flowers_scent;evening;calm;Alice
30;32_years_old_cyclist_male;other_cyclists (with a cyclist who speaks);bike_path;wet_roads;morning;cloudy;Thomas
31;18_years_old_student_male;friends (with a friend who advises);school_lobby;dim_light;afternoon;lively;Olivier
32;50_years_old_gardener_female;visitors (with a gardener who speaks);garden;earthy;afternoon;peaceful;Isabelle
33;27_years_old_rider_female;other_riders (with a biker who advises);roadside;crisp_air;evening;calm;Chloé
34;41_years_old_parent_male;children (with a father who advises);playground;wet_grass;afternoon;bright;François
35;20_years_old_young_adult_male;friends (with a friend who speaks);sidewalk;busy_street;midday;lively;Raphaël
36;38_years_old_safety_officer_female;workers (with an officer who advises);construction_site;construction_noise;morning;noisy;Laetitia
37;48_years_old_photographer_male;bystanders (with a photographer who speaks);park;natural_light;sunset;soft;Dominique
38;34_years_old_tourist_female;other_tourists (with a local who advises);city_center;pleasant_smells;afternoon;warm;Caroline
39;29_years_old_engineer_male;teammates (with a coworker who advises);office;artificial_light;morning;calm;Antoine
40;25_years old pedestrian male;people on the sidewalk (with a friend who advises);urban;wet pavement, fresh rain smell;afternoon;cool;Julien
41;30_years old woman teacher female;teacher classmates (with a student who speaks);school;wood scent from wet books, soft chatter;morning;bright;Clara
42;18_years old student female;students (with a classmate who gives the advice);school;damp backpack odor, quiet ambiance;afternoon;calm;Sophie
43;40_years old office worker male;street walkers (with a passerby who advises);urban;earthy scent, distant traffic noise;morning;clear;Marc
44;50_years old retiree female;people in street (with nearby shopkeeper who advises);park;fresh grass scent, chirping birds;morning;peaceful;Elise
45;29_years old construction worker male;people on the sidewalk (with a coworker who talks);urban;wet cement smell, busy sounds;afternoon;lively;Antoine
46;22_years old athlete female;people in street (with a friend who advises);park;fresh air, rustling leaves;afternoon;warm;Camille
47;35_years old bus driver male;travelers (with a passenger who advises);bus stop;fuel scent, faint engine noise;afternoon;noisy;David
48;45_years old gardener female;neighbors (with a fellow gardener who advises);garden;floral scent, busy insects;morning;bright;Marie
49;20_years old student male;other students (with a peer who speaks);university;coffee scent, chatter of friends;afternoon;vivid;Lucas
50;26_years old safety officer female;workers in the area (with a colleague who talks);construction site;metallic scent, machines running;morning;soft;Emma
51;15_years old high school student male;friends (with a buddy who advises);school entrance;wet pavement scent, laughter nearby;afternoon;cool;Noah
52;32_years old parent female;families at the park (with another parent who talks);playground;fragrant food smell from nearby stalls;afternoon;bright;Alice
53;48_years old bus driver male;other drivers (with a friend who advises);transport terminal;fuel scent, honking horns;morning;cloudy;Henri
54;38_years old librarian female;library visitors (with a reader who advises);library;paper scent, hushed whispers;afternoon;quiet;Isabelle
55;27_years old office worker male;colleagues (with a coworker who talks);office;coffee aroma, tapping keyboards;morning;calm;Julien
56;24_years old college student female;friends (with a companion who advises);campus;fresh grass scent, chatting students;afternoon;warm;Chloé
57;36_years old nurse male;patients (with a visitor who advises);hospital;cleaning supplies scent, soft beeping;morning;calm;Olivier
58;31_years old bartender female;customers (with a friend who talks);pub;ale scent, laughter around;night;vivid;Sarah
59;55_years old writer male;locals (with a fellow writer who advises);café;coffee and pastry scent, soft music;afternoon;soft;François
60;25 years old, pedestrian, female;people on the sidewalk (with a friend who advises);urban;fresh earth smell;afternoon;cloudy;Lucie
61;30 years old, commuter, male;store buyers (with his wife who gives the advice);store;wet concrete smell;morning;cool;Julien
62;22 years old, student, female;teacher classmates (with a classmate who speaks);school;slight rain sound;afternoon;bright;Clara
63;40 years old, local resident, male;people in street (with a neighbor who speaks the advice);park;natural wood scent;morning;calm;François
64;35 years old, city worker, female;crow (alone, aka inner voice);urban;cool breeze;afternoon;peaceful;Sophie
65;28 years old, nature enthusiast, male;people on the sidewalk (with a stranger who speaks the advice);park;birdsong;afternoon;lively;Thomas
66;33 years old, jogger, female;people in street (with nearby jogger who advises);urban;wet pavement sound;morning;quiet;Anne
67;29 years old, cyclist, male;street walkers (with a woman who advises);urban;grass smell;evening;soft;Antoine
68;26 years old, dog owner, female;people on the sidewalk (with another dog owner who advises);park;fresh grass scent;afternoon;sunny;Marie
69;45 years old, maintenance worker, male;someone at a window (with a passerby who speaks the advice);city street;metallic smell;morning;cool;David
70;38 years old, construction worker, female;people on the sidewalk (with a construction colleague who speaks);urban;wet concrete scent;afternoon;clear;Chloé
71;31 years old, parent, male;crow (alone, aka inner voice);urban;rain-soaked earth smell;morning;cloudy;Nicolas
72;24 years old, photographer, female;people in street (with a fellow photographer who advises);park;wet leaf scent;morning;bright;Émilie
73;48 years old, office worker, male;people on the sidewalk (with a coworker who advises);city street;air pressure change sound;afternoon;cool;Bernard
74;37 years old, university lecturer, female;teacher classmates (with a student who advises);school;fresh rain smell;evening;quiet;Carole
75;50 years old, retiree, male;people in the street (with a friend who advises);city park;gentle rustling leaves;afternoon;peaceful;Jacques
76;27 years old, event planner, female;crow (alone, aka inner voice);urban;biting wind sound;evening;windy;Hélène
77;32 years old, chef, male;store buyers (with a customer who speaks);grocery store;aroma of baked goods;afternoon;calm;Marc
78;21 years old, intern, female;teacher classmates (with a friend who advises);school;notes tapping sound;morning;bright;Inès
79;23 years old, fitness trainer, male;people on the sidewalk (with a running buddy who gives advice);urban;humidity in the air;afternoon;lively;Olivier
80;10 years old, child, female;playground friends (with a friend who advises);park;fresh earthy;afternoon;bright;Chloé
81;30 years old, parent, male;playground families (with his wife who advises);park;moist air;afternoon;warm;Julien
82;25 years old, adult, female;walking buddies (with a coworker who talks);city street;raindrops tapping;morning;cool;Sophie
83;40 years old, adult, female;local joggers (with another jogger who advises);urban path;wet leaves scent;morning;clear;Claire
84;35 years old, guardian, male;playground parents (with a fellow parent who speaks);park;children laughing;afternoon;lively;Thomas
85;28 years old, student, female;scanners (with a friend who advises);school yard;fresh rain scent;morning;soft;Lucie
86;50 years old, elder, male;neighbors (with a neighbor who speaks);front yard;crisp air;afternoon;calm;Henri
87;22 years old, young adult, male;campus friends (with a classmate who advises);university grounds;overcast sky;morning;cloudy;Maxime
88;18 years old, teenager, female;school kids (with her older sister who advises);high school courtyard;wet grass smell;afternoon;bright;Emma
89;45 years old, adult, male;business professionals (with a colleague who advises);city street;car engines;morning;busy;Pierre
90;33 years old, parent, female;local parents (with a friend who talks);playground;children playing;afternoon;lively;Isabelle
91;29 years old, adult, male;walking companions (with his brother who advises);city park;light drizzle;morning;peaceful;Antoine
92;24 years old, young adult, female;dog owners (with a stranger who speaks);community park;earthy aroma;afternoon;vivid;Camille
93;38 years old, adult, male;mountain hikers (with a buddy who advises);nature trail;pine scent;morning;cool;Nicolas
94;42 years old, elder, female;senior circle (with a friend who talks);community garden;calming breeze;afternoon;quiet;Marianne
95;21 years old, student, male;university students (with a peer who advises);college pathway;wet pavement;morning;clear;Louis
96;46 years old, adult, female;fashionable walkers (with a friend who advises);shopping district;city scents;afternoon;bright;Nathalie
97;36 years old, adult, male;fishing enthusiasts (with a buddy who advises);riverbank;fresh water;afternoon;peaceful;François
98;32 years old, guardian, female;local guardians (with a neighbor who speaks);suburban street;splashes of water;afternoon;calm;Cécile
99;55 years old, elder, male;older men (with a friend who talks);local café;warm coffee;morning;soft;Gérard
100;35_urban_planner_male;people on the sidewalk (with a friend who advises);city street;fresh_pavement smell;afternoon;cool;Julien
101;28_teacher_female;teacher classmates (with a student who talks);school hallway;light chatter;morning;bright;Clara
102;42_bank_employee_female;store buyers (with her son who speaks);shopping center;coffee aroma;afternoon;busy;Sophie
103;50_mechanic_male;passersby (with a colleague who advises);street corner;engine sounds;afternoon;lively;Marc
104;30_hiker_female;friends (with a friend who advises);park;earthy scent;morning;fresh;Camille
105;60_retired_man_male;neighbors (with a woman who talks);quiet street;bird chirping;morning;peaceful;Pierre
106;25_college_student_female;people in street (with a classmate who advises);university campus;students laughing;afternoon;vivid;Emma
107;19_high_school_student_male;teacher classmates (with a classmate who speaks);school yard;rustling leaves;morning;clear;Lucas
108;40_lawyer_female;office colleagues (with an associate who advises);city office;paper rustling;afternoon;quiet;Nathalie
109;29_chef_male;kitchen staff (with a sous-chef who advises);restaurant kitchen;spicy_scent;evening;warm;Antoine
110;55_park_ranger_female;walkers (with a visitor who speaks);nature reserve;floral scent;mornings;calm;Isabelle
111;37_construction_worker_male;team members (with a foreman who advises);construction site;metal clanking;daylight;busy;David
112;20_university_student_female;students (with a friend who advises);library;quiet ambiance;afternoon;soft;Chloé
113;65_grandmother_female;family (with her daughter who speaks);family home;home_cooked_meal scent;early evening;warm;Denise
114;22_young_professional_male;co-workers (with a mentor who talks);business office;coffee smell;mid-morning;bright;Alex
115;48_mother_female;grocery shoppers (with a friend who advises);grocery store;fresh produce aroma;midday;busy;Juliette
116;33_safety_officer_male;community members (with a resident who speaks);community center;slight chatter;afternoon;lively;Thomas
117;38_nurse_female;hospital staff (with a colleague who advises);hospital corridor;sanitizer smell;night;quiet;Sarah
