Num;Character;Presence;Location;Sensation;Time;Moment;First_Name
1;45 years old, local guide, male;people on the path (with a friend who advises);park;sound of water;afternoon;calm;Jean
2;30 years old, nature enthusiast, female;friends (with an old man who advises);outdoor trail;fresh air;morning;bright;Clara
3;35 years old, parent, female;families (with her mother who advises);waterfront;children playing;afternoon;lively;Sophie
4;50 years old, hiker, male;walking companions (with a young person who advises);nature reserve;earthy scent;afternoon;cool;Marc
5;28 years old, student, female;students (with a mentor who speaks);university campus;light chatter;morning;soft;Laura
6;40 years old, outdoor instructor, male;participants (with a colleague who speaks);hiking trail;crisp air;morning;clear;Thomas
7;25 years old, wildlife photographer, female;tourists (with a guide who advises);scenic lookout;whisper of wind;afternoon;peaceful;Alice
8;22 years old, athlete, male;friends (with a teammate who speaks);beach;salt in the air;midday;warm;Julien
9;38 years old, nature lover, female;couples (with a nearby elder who advises);lake view;birds chirping;evening;calm;Emilie
10;33 years old, safety officer, male;fellow workers (with a lead who advises);coastal area;gentle waves;afternoon;cool;Philippe
11;20 years old, college student, female;classmates (with a teacher who speaks);outdoor classroom;morning sun;morning;bright;Chloe
12;47 years old, park ranger, male;visitors (with a volunteer who advises);national park;rustle of leaves;afternoon;lively;David
13;60 years old, retired sailor, male;family (with a spouse who speaks);harbor;smell of sea;evening;soft;Henri
14;29 years old, adventure seeker, female;friends (with a stranger who advises);mountain path;cool breeze;afternoon;windy;Isabelle
15;55 years old, environmentalist, male;community members (with a leader who advises);nature path;earthy richness;morning;calm;Jacques
16;42 years old, program coordinator, female;team (with a coworker who speaks);river bank;crisp smell;evening;peaceful;Nathalie
17;48 years old, mentor, male;young people (with a student who advises);park bench;sunshine;afternoon;vivid;François
18;27 years old, health enthusiast, female;wellness group (with a friend who speaks);walking trail;aroma of flowers;morning;bright;Marine
19;36 years old, security guard, male;visitors (with a friend who advises);tourist spot;warm sunlight;midday;clear;Louis
20;31 years old, tour guide, female;tourists (with a child who speaks);scenic area;sound of laughter;evening;soft;Caroline
21;35_year_old_male_guide (with a fellow guide who advises);people on the sidewalk;urban;light breezes;afternoon;calm;Léo
22;35_years_old_guide_male;tourists (with a fellow guide who advises);beach;waves_lapping;afternoon;sunny;Lucas
23;28_years_old_hiker_female;friends (with her partner who speaks);coastal_path;salt_air;morning;cool;Sophie
24;42_years_old_father_male;family (with his son who advises);shoreside;windy;evening;calm;Julien
25;30_years_old_local_male;fishermen (with an elder who speaks);pier;seagulls_cawing;afternoon;bright;Thomas
